date,lastUpdateTime,total_confirm,total_dead,total_heal,total_severe,total_suspect,today_confirm,today_dead,today_heal,today_severe,today_storeConfirm,today_suspect
2020-01-20,,291,6,25,0,54,291,6,25,0,,27
2020-01-21,,440,9,25,102,37,149,3,0,0,,26
2020-01-22,,571,17,28,95,393,131,8,3,0,,257
2020-01-23,,830,25,34,177,1072,259,8,6,0,,680
2020-01-24,,1287,41,38,237,1965,457,16,4,0,,1118
2020-01-25,,1975,56,49,324,2684,688,15,11,0,,1309
2020-01-26,,2744,80,51,461,5794,769,24,2,0,,3806
2020-01-27,,4515,106,60,976,6973,1771,26,9,0,,2077
2020-01-28,,5974,132,103,1239,9239,1459,26,43,0,,3248
2020-01-29,,7711,170,124,1370,12167,1737,38,21,0,,4148
2020-01-30,,9692,213,171,1527,15238,1981,43,47,0,,4812
2020-01-31,,11791,259,243,1795,17988,2099,46,72,0,,5019
2020-02-01,,14380,304,328,2110,19544,2589,45,85,0,,4562
2020-02-02,,17205,361,475,2296,21558,2825,57,147,0,,5173
2020-02-03,,20438,425,632,2788,23214,3233,64,157,0,,5072
2020-02-04,,24324,490,892,3219,23260,3886,65,260,0,,3971
2020-02-05,,28018,563,1153,3859,24702,3694,73,261,0,,5328
2020-02-06,,31161,636,1540,4821,26359,3143,73,387,0,,4833
2020-02-07,,34546,722,2050,6101,27657,3385,86,510,0,,4214
2020-02-08,,37198,811,2649,6188,28942,2652,89,599,0,,3916
2020-02-09,,40171,908,3281,6484,23589,2973,97,632,0,,4008
2020-02-10,,42638,1016,3996,7333,21675,2467,108,715,0,,3536
2020-02-11,,44653,1113,4740,8204,16067,2015,97,744,0,,3342
2020-02-12,,58761,1259,5642,8030,13435,14108,146,902,0,,2807
2020-02-13,,63851,1380,6723,10204,10109,5090,121,1081,0,,2450
2020-02-14,,66492,1523,8096,11053,8969,2641,143,1373,0,,2277
2020-02-15,,68500,1665,9419,11272,8228,2008,142,1323,0,,1918
2020-02-16,,70548,1770,10844,10644,7264,2048,105,1425,0,,1563
2020-02-17,,72436,1868,12552,11741,6242,1888,98,1708,0,,1432
2020-02-18,,74185,2004,14376,11977,5248,1749,136,1824,0,,1185
2020-02-19,,75002,2118,16157,11864,4922,817,114,1781,0,,1277
2020-02-20,,75891,2236,18266,11633,5206,889,118,2109,0,,1614
2020-02-21,,76288,2345,20659,11477,5365,397,109,2393,0,,1361
2020-02-22,,76741,2442,22888,10968,4148,453,97,2229,0,,882
2020-02-23,,77150,2592,24734,9915,3434,409,150,1846,0,,620
2020-02-24,,77658,2663,27323,9126,2824,508,71,2589,0,,530
2020-02-25,,78064,2715,29745,8752,2491,406,52,2422,0,,439
2020-02-26,,78497,2744,32495,8346,2358,433,29,2750,0,,508
2020-02-27,,78824,2788,36117,7952,2308,327,44,3622,0,,452
2020-02-28,,79251,2835,39002,7664,1418,427,47,2885,0,,248
2020-02-29,,79824,2870,41625,7365,851,573,35,2623,0,,132
2020-03-01,,80026,2912,44462,7110,715,202,42,2837,0,,141
2020-03-02,,80151,2943,47204,6806,587,125,31,2742,0,,129
2020-03-03,,80270,2981,49856,6416,520,119,38,2652,0,,143
2020-03-04,,80409,3012,52045,5952,522,139,31,2189,0,,143
2020-03-05,,80552,3042,53726,5737,482,143,30,1681,0,,102
2020-03-06,,80651,3070,55404,5489,502,99,28,1678,0,,99
2020-03-07,,80695,3097,57065,5264,458,44,27,1661,0,,84
2020-03-08,,80735,3119,58600,5111,421,40,22,1535,0,,60
2020-03-09,,80754,3136,59897,4794,349,19,17,1297,0,,36
2020-03-10,,80778,3158,61475,4492,285,24,22,1578,0,,31
2020-03-11,,80793,3169,62793,4257,253,15,11,1318,0,,33
2020-03-12,,80813,3176,64111,4020,147,20,7,1318,0,,33
2020-03-13,,80824,3189,65541,3610,115,11,13,1430,0,,17
2020-03-14,,80844,3199,66911,3226,113,20,10,1370,0,,39
2020-03-15,,80860,3213,67749,3032,134,16,14,838,0,,41
2020-03-16,,80881,3226,68679,2830,128,21,13,930,0,,45
2020-03-17,,80894,3237,69601,2622,119,13,11,922,0,,21
2020-03-18,,80928,3245,70420,2314,105,34,8,819,0,,23
2020-03-19,,80967,3248,71150,2136,104,39,3,730,0,,31
2020-03-20,,81008,3255,71740,1963,106,41,7,590,0,,36
2020-03-21,,81054,3261,72244,1845,118,46,6,504,0,,45
2020-03-22,,81093,3270,72703,1749,136,39,9,459,0,,47
2020-03-23,,81171,3277,73159,1573,132,78,7,456,0,,35
2020-03-24,,81218,3281,73650,1399,134,47,4,491,0,,33
2020-03-25,,81285,3287,74051,1235,159,67,6,401,0,,58
